Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Type
51	Spectrogram 1	1	421.921275512	423.887521372	0.000	8000.000	G
52	Spectrogram 1	1	424.188241328	426.501471752	0.000	8000.000	H
53	Spectrogram 1	1	428.583379134	430.391135020	0.000	8000.000	F
54	Spectrogram 1	1	433.302369200	436.240171839	0.000	8000.000	G2
55	Spectrogram 1	1	436.749082533	440.288325082	0.000	8000.000	G2
56	Spectrogram 1	1	441.653128202	442.350014534	0.000	8000.000	I
57	Spectrogram 1	1	443.735035584	444.410558137	0.000	8000.000	I
58	Spectrogram 1	1	445.840075270	446.588178080	0.000	8000.000	I
59	Spectrogram 1	1	448.107041086	450.281477686	0.000	8000.000	G2
60	Spectrogram 1	1	451.646283636	454.653483188	0.000	8000.000	G2
61	Spectrogram 1	1	455.902627617	456.733975750	0.000	8000.000	I
62	Spectrogram 1	1	458.053931912	458.864765157	0.000	8000.000	I
63	Spectrogram 1	1	459.997045469	460.552220770	0.000	8000.000	I
64	Spectrogram 1	1	460.899205334	461.500645244	0.000	8000.000	I
65	Spectrogram 1	1	461.940159025	462.449069718	0.000	8000.000	I
66	Spectrogram 1	1	462.657260457	463.235568063	0.000	8000.000	I
67	Spectrogram 1	1	463.374361888	463.813875669	0.000	8000.000	I
68	Spectrogram 1	1	464.322786362	464.924226273	0.000	8000.000	I
69	Spectrogram 1	1	465.224946228	465.733856921	0.000	8000.000	I
70	Spectrogram 1	1	465.988312268	466.543487570	0.000	8000.000	I
71	Spectrogram 1	1	468.093351954	469.354094018	0.000	8000.000	G2
72	Spectrogram 1	1	471.748253194	473.311274346	0.000	8000.000	G2
73	Spectrogram 1	1	474.616658921	475.231326339	0.000	8000.000	I
74	Spectrogram 1	1	476.559772477	477.068683171	0.000	8000.000	I
75	Spectrogram 1	1	477.415667734	477.947710732	0.000	8000.000	I
76	Spectrogram 1	1	478.757341381	479.243119770	0.000	8000.000	I
77	Spectrogram 1	1	479.613236638	480.145279635	0.000	8000.000	I
78	Spectrogram 1	1	480.538528808	481.070571805	0.000	8000.000	I
79	Spectrogram 1	1	481.417556369	481.926467062	0.000	8000.000	I
80	Spectrogram 1	1	482.342848539	482.851759232	0.000	8000.000	I
81	Spectrogram 1	1	483.291273013	483.823316010	0.000	8000.000	I
82	Spectrogram 1	1	484.170300574	484.771740484	0.000	8000.000	I
83	Spectrogram 1	1	484.887402006	485.488841916	0.000	8000.000	I
84	Spectrogram 1	1	487.408820338	488.531198683	0.000	8000.000	G2
85	Spectrogram 1	1	490.924930583	492.230811061	0.000	8000.000	G2
86	Spectrogram 1	1	493.677674788	494.338179833	0.000	8000.000	I
87	Spectrogram 1	1	495.597656041	496.222228255	0.000	8000.000	I
88	Spectrogram 1	1	496.546080515	497.170652729	0.000	8000.000	I
89	Spectrogram 1	1	498.049680291	498.535458680	0.000	8000.000	I
90	Spectrogram 1	1	498.766781722	499.391353937	0.000	8000.000	I
91	Spectrogram 1	1	499.992793847	500.524836845	0.000	8000.000	I
92	Spectrogram 1	1	500.779292191	501.403864406	0.000	8000.000	I
93	Spectrogram 1	1	501.565790536	502.028436621	0.000	8000.000	I
94	Spectrogram 1	1	502.213495055	502.791802661	0.000	8000.000	I
95	Spectrogram 1	1	502.999993399	503.508904092	0.000	8000.000	I
96	Spectrogram 1	1	503.647697918	504.179740915	0.000	8000.000	I
97	Spectrogram 1	1	505.475149953	506.400442123	0.000	8000.000	I2
98	Spectrogram 1	1	508.412952592	509.259009577	0.000	8000.000	I2
99	Spectrogram 1	1	511.211961406	512.045426494	0.000	8000.000	I2
100	Spectrogram 1	1	512.993146002	514.704936516	0.000	8000.000	P
101	Spectrogram 1	1	515.514567165	517.781532981	0.000	8000.000	P
102	Spectrogram 1	1	518.498634413	523.148227566	0.000	8000.000	P
103	Spectrogram 1	1	523.865328997	524.806747669	0.000	8000.000	I2
104	Spectrogram 1	1	526.687470115	527.663410391	0.000	8000.000	I2
105	Spectrogram 1	1	529.694669667	530.590318918	0.000	8000.000	I2
106	Spectrogram 1	1	532.354884655	533.118250696	0.000	8000.000	I2
107	Spectrogram 1	1	534.159204387	535.500878033	0.000	8000.000	P
108	Spectrogram 1	1	536.541831724	538.508077585	0.000	8000.000	P
109	Spectrogram 1	1	539.271440794	543.620313992	0.000	8000.000	P
110	Spectrogram 1	1	544.938855334	545.929006665	0.000	8000.000	I3
111	Spectrogram 1	1	547.807261061	548.855915191	0.000	8000.000	I3
112	Spectrogram 1	1	550.721931395	551.876484791	0.000	8000.000	I3
113	Spectrogram 1	1	553.867924773	555.037545999	0.000	8000.000	I3
114	Spectrogram 1	1	557.083315063	558.292268281	0.000	8000.000	I3
115	Spectrogram 1	1	559.905453350	562.128092453	0.000	8000.000	I3
116	Spectrogram 1	1	562.450006817	565.152333190	0.000	8000.000	I3
117	Spectrogram 1	1	565.272147935	568.038059084	0.000	8000.000	Bu
118	Spectrogram 1	1	569.597888829	570.869851788	0.000	8000.000	A
119	Spectrogram 1	1	573.715438984	575.160370829	0.000	8000.000	Bd
120	Spectrogram 1	1	576.953961579	579.234672722	0.000	8000.000	Bd
121	Spectrogram 1	1	580.238748782	582.836058637	0.000	8000.000	Bd
122	Spectrogram 1	1	584.217502281	585.972699784	0.000	8000.000	A
123	Spectrogram 1	1	588.774566217	591.319119684	0.000	8000.000	B
124	Spectrogram 1	1	592.545131809	594.574689922	0.000	8000.000	A
125	Spectrogram 1	1	595.135949885	597.564841831	0.000	8000.000	A
126	Spectrogram 1	1	598.628927826	601.242878206	0.000	8000.000	C
127	Spectrogram 1	1	602.700210542	605.136945515	0.000	8000.000	Bm
128	Spectrogram 1	1	605.846203920	608.091928830	0.000	8000.000	A
129	Spectrogram 1	1	608.529551212	610.885311495	0.000	8000.000	A
130	Spectrogram 1	1	612.115058370	614.705876446	0.000	8000.000	C
131	Spectrogram 1	1	615.446110181	618.134252110	0.000	8000.000	Bu
132	Spectrogram 1	1	619.147278861	621.389350918	0.000	8000.000	A
133	Spectrogram 1	1	621.668700023	624.021132934	0.000	8000.000	A
134	Spectrogram 1	1	625.393001007	627.729363736	0.000	8000.000	C
135	Spectrogram 1	1	628.862846644	630.574637158	0.000	8000.000	Bm
136	Spectrogram 1	1	632.124498712	634.201971057	0.000	8000.000	A
137	Spectrogram 1	1	634.553390657	636.672152422	0.000	8000.000	A
138	Spectrogram 1	1	638.185162424	640.521525153	0.000	8000.000	C
139	Spectrogram 1	1	641.678140365	643.736915443	0.000	8000.000	Bm
140	Spectrogram 1	1	644.916662959	647.083851447	0.000	8000.000	A
141	Spectrogram 1	1	647.386219592	649.692547655	0.000	8000.000	A
142	Spectrogram 1	1	650.925462141	653.308089479	0.000	8000.000	C
143	Spectrogram 1	1	654.025190910	655.713849120	0.000	8000.000	Bu
144	Spectrogram 1	1	657.495036547	659.850302802	0.000	8000.000	A
145	Spectrogram 1	1	659.993325405	662.366652951	0.000	8000.000	A
146	Spectrogram 1	1	663.787023302	665.486512724	0.000	8000.000	C
147	Spectrogram 1	1	666.817355158	668.187002734	0.000	8000.000	Bu
148	Spectrogram 1	1	670.981167091	673.069092793	0.000	8000.000	D
149	Spectrogram 1	1	675.330040289	677.550741497	0.000	8000.000	C
150	Spectrogram 1	1	677.782064539	679.025052176	0.000	8000.000	Bu
151	Spectrogram 1	1	680.141559572	680.804612560	0.000	8000.000	B
152	Spectrogram 1	1	682.593583822	685.230666506	0.000	8000.000	D
153	Spectrogram 1	1	686.988721629	689.446301908	0.000	8000.000	C
154	Spectrogram 1	1	689.487010487	690.592194672	0.000	8000.000	Bu
155	Spectrogram 1	1	693.465763987	696.302786632	0.000	8000.000	D
156	Spectrogram 1	1	697.768372576	699.192684660	0.000	8000.000	C
157	Spectrogram 1	1	700.220396826	701.182982458	0.000	8000.000	E
158	Spectrogram 1	1	702.232907296	703.371030218	0.000	8000.000	E
159	Spectrogram 1	1	704.291682374	705.525234894	0.000	8000.000	E
160	Spectrogram 1	1	706.581780494	707.702854837	0.000	8000.000	E
161	Spectrogram 1	1	709.241992651	711.551071604	0.000	8000.000	F
162	Spectrogram 1	1	713.660262762	715.632486330	0.000	8000.000	C
163	Spectrogram 1	1	715.973493187	716.959998561	0.000	8000.000	E
164	Spectrogram 1	1	718.032268265	719.043957431	0.000	8000.000	E
165	Spectrogram 1	1	720.021646430	721.057670498	0.000	8000.000	E
166	Spectrogram 1	1	721.802833857	722.977722491	0.000	8000.000	E
167	Spectrogram 1	1	724.948827234	728.278864424	0.000	8000.000	F
168	Spectrogram 1	1	729.505891170	730.685823307	0.000	8000.000	C
169	Spectrogram 1	1	731.809756181	732.957104323	0.000	8000.000	E
170	Spectrogram 1	1	734.054953590	735.204970072	0.000	8000.000	E
171	Spectrogram 1	1	736.086504619	737.101606797	0.000	8000.000	E
172	Spectrogram 1	1	739.064573742	743.035332572	0.000	8000.000	F
173	Spectrogram 1	1	744.512824230	746.498203645	0.000	8000.000	G
174	Spectrogram 1	1	746.659804295	750.376619246	0.000	8000.000	H
175	Spectrogram 1	1	751.161533859	754.947606231	0.000	8000.000	F
176	Spectrogram 1	1	756.292080817	758.071641201	0.000	8000.000	G
177	Spectrogram 1	1	758.595163761	762.935295506	0.000	8000.000	H
178	Spectrogram 1	1	763.927985213	767.229255636	0.000	8000.000	F
179	Spectrogram 1	1	769.145374799	770.669038071	0.000	8000.000	G
180	Spectrogram 1	1	770.853724528	775.055341429	0.000	8000.000	H
181	Spectrogram 1	1	776.071116944	779.857189317	0.000	8000.000	F
182	Spectrogram 1	1	781.265423553	783.527832654	0.000	8000.000	G
183	Spectrogram 1	1	783.666347497	787.498591484	0.000	8000.000	H
184	Spectrogram 1	1	788.560538613	791.884894843	0.000	8000.000	F
185	Spectrogram 1	1	793.916443041	796.201937949	0.000	8000.000	G
186	Spectrogram 1	1	796.271195371	800.034181936	0.000	8000.000	H
187	Spectrogram 1	1	800.495898079	803.889511731	0.000	8000.000	F
188	Spectrogram 1	1	805.736376303	808.874198740	0.000	8000.000	G2
189	Spectrogram 1	1	809.891821590	814.532068827	0.000	8000.000	G2
190	Spectrogram 1	1	814.716752454	815.466667490	0.000	8000.000	I
191	Spectrogram 1	1	816.871578719	817.597452034	0.000	8000.000	I
192	Spectrogram 1	1	819.103055813	819.775071978	0.000	8000.000	I
193	Spectrogram 1	1	820.949920385	824.343534036	0.000	8000.000	G2
194	Spectrogram 1	1	824.620563722	829.214639345	0.000	8000.000	G2
195	Spectrogram 1	1	829.584012259	830.309567879	0.000	8000.000	I
196	Spectrogram 1	1	831.823335553	832.557433627	0.000	8000.000	I
197	Spectrogram 1	1	833.854886582	834.617977230	0.000	8000.000	I2
198	Spectrogram 1	1	835.817180190	839.256965456	0.000	8000.000	G2
199	Spectrogram 1	1	839.626338370	843.343153321	0.000	8000.000	G2
200	Spectrogram 1	1	843.632855491	844.522635683	0.000	8000.000	I2
201	Spectrogram 1	1	845.882589277	846.606594554	0.000	8000.000	I2
202	Spectrogram 1	1	847.937226114	848.629800328	0.000	8000.000	I2
203	Spectrogram 1	1	848.745229364	849.507061000	0.000	8000.000	I2
204	Spectrogram 1	1	849.622490036	850.315064250	0.000	8000.000	I2
205	Spectrogram 1	1	850.361235865	851.053810079	0.000	8000.000	I2
206	Spectrogram 1	1	851.584783644	852.138843015	0.000	8000.000	I2
207	Spectrogram 1	1	852.208100437	853.039189494	0.000	8000.000	I2
208	Spectrogram 1	1	853.131532723	853.708677902	0.000	8000.000	I2
209	Spectrogram 1	1	855.601714088	856.502060567	0.000	8000.000	I2
210	Spectrogram 1	1	870.330456220	872.154234985	0.000	8000.000	I3
211	Spectrogram 1	1	873.724069871	875.409333793	0.000	8000.000	I3
212	Spectrogram 1	1	876.794482222	878.572089373	0.000	8000.000	I3
213	Spectrogram 1	1	884.597482209	886.721376467	0.000	8000.000	P
214	Spectrogram 1	1	887.321607452	888.208319064	0.000	8000.000	I3
215	Spectrogram 1	1	890.645963682	891.538946142	0.000	8000.000	I3
216	Spectrogram 1	1	893.947234105	894.899989905	0.000	8000.000	I3
217	Spectrogram 1	1	896.278900627	897.710220670	0.000	8000.000	P
218	Spectrogram 1	1	898.772167799	902.812184051	0.000	8000.000	P
219	Spectrogram 1	1	903.735616337	905.467051873	0.000	8000.000	I3
220	Spectrogram 1	1	907.059972567	909.091523596	0.000	8000.000	I3
221	Spectrogram 1	1	910.061124666	911.677131166	0.000	8000.000	I3
222	Spectrogram 1	1	913.523995738	914.561566724	0.000	8000.000	I3
223	Spectrogram 1	1	916.201949368	918.348929433	0.000	8000.000	I3
224	Spectrogram 1	1	919.595563019	921.765628891	0.000	8000.000	I3
225	Spectrogram 1	1	922.435117299	924.743698014	0.000	8000.000	I3
226	Spectrogram 1	1	924.812955435	931.715611774	0.000	8000.000	I4
227	Spectrogram 1	1	932.592872445	934.508994439	0.000	8000.000	A
228	Spectrogram 1	1	936.679057480	938.918380774	0.000	8000.000	I3
229	Spectrogram 1	1	939.518611760	942.542852497	0.000	8000.000	Bd
230	Spectrogram 1	1	943.235426711	949.491680449	0.000	8000.000	I4
231	Spectrogram 1	1	950.068825628	952.146548272	0.000	8000.000	A
232	Spectrogram 1	1	954.593640999	958.102683686	0.000	8000.000	Bd
233	Spectrogram 1	1	958.171941108	962.142699938	0.000	8000.000	I4
234	Spectrogram 1	1	962.457730374	966.944703101	0.000	8000.000	Bd
235	Spectrogram 1	1	967.590950425	969.922616948	0.000	8000.000	A
236	Spectrogram 1	1	970.522847933	972.854514456	0.000	8000.000	A
237	Spectrogram 1	1	973.570174477	975.843921213	0.000	8000.000	C1
238	Spectrogram 1	1	977.956477836	980.565174044	0.000	8000.000	Bu
239	Spectrogram 1	1	981.188488007	983.427811300	0.000	8000.000	A
240	Spectrogram 1	1	983.935699058	985.897992665	0.000	8000.000	A
241	Spectrogram 1	1	986.959939794	990.099609567	0.000	8000.000	C
242	Spectrogram 1	1	991.138470889	993.931853554	0.000	8000.000	Bd
243	Spectrogram 1	1	994.716770997	995.748668072	0.000	8000.000	A
244	Spectrogram 1	1	997.233123977	999.357018235	0.000	8000.000	A
245	Spectrogram 1	1	1000.557477376	1003.443203270	0.000	8000.000	C
246	Spectrogram 1	1	1004.574407820	1006.813731114	0.000	8000.000	Bu
247	Spectrogram 1	1	1007.806420821	1009.837971851	0.000	8000.000	A
248	Spectrogram 1	1	1010.392031222	1012.700611937	0.000	8000.000	A
249	Spectrogram 1	1	1014.131931981	1016.740628189	0.000	8000.000	C
250	Spectrogram 1	1	1017.479374018	1019.787954733	0.000	8000.000	Bu
251	Spectrogram 1	1	1020.642129597	1022.904538698	0.000	8000.000	A
252	Spectrogram 1	1	1023.112310963	1025.351634256	0.000	8000.000	A
253	Spectrogram 1	1	1026.667522433	1029.206961220	0.000	8000.000	C
254	Spectrogram 1	1	1029.460905099	1032.069601307	0.000	8000.000	Bu
255	Spectrogram 1	1	1033.154634243	1035.370871729	0.000	8000.000	A
256	Spectrogram 1	1	1035.578643994	1037.910310516	0.000	8000.000	A
257	Spectrogram 1	1	1038.995343452	1041.811811924	0.000	8000.000	C
258	Spectrogram 1	1	1042.365871296	1044.535937168	0.000	8000.000	Bu
259	Spectrogram 1	1	1045.482455261	1047.652521134	0.000	8000.000	A
260	Spectrogram 1	1	1047.721778555	1050.053445077	0.000	8000.000	A
261	Spectrogram 1	1	1051.346247447	1053.954943655	0.000	8000.000	C
262	Spectrogram 1	1	1054.347402377	1056.748326321	0.000	8000.000	Bu
263	Spectrogram 1	1	1057.741016028	1059.980339322	0.000	8000.000	A
264	Spectrogram 1	1	1060.095768358	1062.473606494	0.000	8000.000	A
265	Spectrogram 1	1	1063.674068466	1066.328936288	0.000	8000.000	C
266	Spectrogram 1	1	1066.604329579	1067.379955063	0.000	8000.000	Bu
267	Spectrogram 1	1	1068.855164317	1069.204956201	0.000	8000.000	B
268	Spectrogram 1	1	1071.269296188	1073.068709431	0.000	8000.000	D
269	Spectrogram 1	1	1075.493998897	1077.687150576	0.000	8000.000	C
270	Spectrogram 1	1	1077.997341024	1078.795523714	0.000	8000.000	Bu
271	Spectrogram 1	1	1080.203503556	1080.688305506	0.000	8000.000	Bu
272	Spectrogram 1	1	1082.719856535	1084.685468950	0.000	8000.000	D
273	Spectrogram 1	1	1087.106159894	1089.391654802	0.000	8000.000	C
274	Spectrogram 1	1	1089.722973339	1090.635473908	0.000	8000.000	B
275	Spectrogram 1	1	1093.731783716	1096.298041110	0.000	8000.000	D
276	Spectrogram 1	1	1098.141172881	1100.334324561	0.000	8000.000	C
277	Spectrogram 1	1	1100.611354247	1101.543061190	0.000	8000.000	Bu
278	Spectrogram 1	1	1102.665991083	1103.160750685	0.000	8000.000	B
279	Spectrogram 1	1	1105.251601484	1107.398581549	0.000	8000.000	D
280	Spectrogram 1	1	1109.707162264	1112.038828786	0.000	8000.000	C
281	Spectrogram 1	1	1112.422631462	1113.243881975	0.000	8000.000	Bu
282	Spectrogram 1	1	1116.055759231	1118.209055058	0.000	8000.000	D
283	Spectrogram 1	1	1120.626746216	1123.096927581	0.000	8000.000	C
284	Spectrogram 1	1	1123.212356617	1124.068154179	0.000	8000.000	Bu
285	Spectrogram 1	1	1126.929171568	1129.448383799	0.000	8000.000	D
286	Spectrogram 1	1	1131.453989770	1134.131943399	0.000	8000.000	C
287	Spectrogram 1	1	1134.270458242	1135.161709243	0.000	8000.000	Bu
288	Spectrogram 1	1	1137.941101579	1140.219407176	0.000	8000.000	D
289	Spectrogram 1	1	1142.350487915	1144.797583473	0.000	8000.000	C
290	Spectrogram 1	1	1145.225924739	1146.062383594	0.000	8000.000	Bu
291	Spectrogram 1	1	1148.953028760	1151.067081110	0.000	8000.000	D
292	Spectrogram 1	1	1153.200817276	1155.555569605	0.000	8000.000	C
293	Spectrogram 1	1	1155.878770905	1157.047534017	0.000	8000.000	Bu
294	Spectrogram 1	1	1160.034216192	1161.895421198	0.000	8000.000	D
295	Spectrogram 1	1	1164.258916071	1166.336638714	0.000	8000.000	C
296	Spectrogram 1	1	1166.554132910	1167.935633735	0.000	8000.000	Bu
297	Spectrogram 1	1	1170.861456916	1172.712348450	0.000	8000.000	D
298	Spectrogram 1	1	1175.086159624	1176.937415132	0.000	8000.000	C
299	Spectrogram 1	1	1177.741027447	1178.991249805	0.000	8000.000	Bu
300	Spectrogram 1	1	1181.827215313	1183.999201968	0.000	8000.000	D
301	Spectrogram 1	1	1186.190432864	1188.637528422	0.000	8000.000	C
302	Spectrogram 1	1	1188.825662454	1189.855934255	0.000	8000.000	Bu
303	Spectrogram 1	1	1192.792970879	1194.768088614	0.000	8000.000	D
304	Spectrogram 1	1	1196.948416166	1199.072310424	0.000	8000.000	C
305	Spectrogram 1	1	1199.656383221	1200.429087072	0.000	8000.000	E
306	Spectrogram 1	1	1201.150030237	1202.027290909	0.000	8000.000	E
307	Spectrogram 1	1	1202.723783357	1203.758726445	0.000	8000.000	E
308	Spectrogram 1	1	1204.222360522	1205.393123933	0.000	8000.000	E
309	Spectrogram 1	1	1206.212658320	1207.129254289	0.000	8000.000	E
310	Spectrogram 1	1	1208.768346597	1211.630986683	0.000	8000.000	F
311	Spectrogram 1	1	1212.739105427	1213.899279017	0.000	8000.000	C
312	Spectrogram 1	1	1215.356320557	1216.105609139	0.000	8000.000	E
313	Spectrogram 1	1	1217.402438471	1218.259813815	0.000	8000.000	E
314	Spectrogram 1	1	1219.480161115	1220.367187954	0.000	8000.000	E
315	Spectrogram 1	1	1221.373197301	1222.310655215	0.000	8000.000	E
316	Spectrogram 1	1	1223.335490909	1224.113630868	0.000	8000.000	E
317	Spectrogram 1	1	1226.013444539	1228.622140747	0.000	8000.000	F
318	Spectrogram 1	1	1230.168889826	1231.404768862	0.000	8000.000	C
319	Spectrogram 1	1	1232.939183853	1233.758697539	0.000	8000.000	E
320	Spectrogram 1	1	1235.155421340	1236.029978555	0.000	8000.000	E
321	Spectrogram 1	1	1237.071543333	1238.113937426	0.000	8000.000	E
322	Spectrogram 1	1	1239.056922748	1240.080819956	0.000	8000.000	E
323	Spectrogram 1	1	1240.811444092	1241.813549803	0.000	8000.000	E
324	Spectrogram 1	1	1243.350882879	1246.744496530	0.000	8000.000	F
325	Spectrogram 1	1	1247.875701080	1249.999595338	0.000	8000.000	C
326	Spectrogram 1	1	1250.266454433	1251.015743016	0.000	8000.000	E
327	Spectrogram 1	1	1251.961888946	1252.912379741	0.000	8000.000	E
328	Spectrogram 1	1	1253.924179723	1254.715355393	0.000	8000.000	E
329	Spectrogram 1	1	1255.701786874	1256.354424168	0.000	8000.000	E
330	Spectrogram 1	1	1257.086935303	1257.923247138	0.000	8000.000	E
331	Spectrogram 1	1	1259.303172789	1262.535185791	0.000	8000.000	F
332	Spectrogram 1	1	1263.735647762	1265.859542020	0.000	8000.000	C
333	Spectrogram 1	1	1266.321258163	1267.058356687	0.000	8000.000	E
334	Spectrogram 1	1	1268.191208543	1269.142315558	0.000	8000.000	E
335	Spectrogram 1	1	1270.084244729	1270.851630137	0.000	8000.000	E
336	Spectrogram 1	1	1271.815680265	1272.724851594	0.000	8000.000	E
337	Spectrogram 1	1	1274.262775823	1277.702561089	0.000	8000.000	F
338	Spectrogram 1	1	1279.826452516	1281.411357382	0.000	8000.000	G
339	Spectrogram 1	1	1281.849558054	1282.903245123	0.000	8000.000	H
340	Spectrogram 1	1	1283.348135219	1284.706220775	0.000	8000.000	H
341	Spectrogram 1	1	1286.836522062	1288.803892712	0.000	8000.000	F
342	Spectrogram 1	1	1291.499855107	1293.508320329	0.000	8000.000	G
343	Spectrogram 1	1	1294.431752615	1296.695420728	0.000	8000.000	H
344	Spectrogram 1	1	1298.450549761	1300.625342784	0.000	8000.000	F
345	Spectrogram 1	1	1303.250530947	1305.951570383	0.000	8000.000	G
346	Spectrogram 1	1	1306.344029105	1307.840261708	0.000	8000.000	H
347	Spectrogram 1	1	1310.107015671	1312.982121325	0.000	8000.000	F
348	Spectrogram 1	1	1315.093547185	1317.309784671	0.000	8000.000	G
349	Spectrogram 1	1	1317.794586621	1320.056995722	0.000	8000.000	H
350	Spectrogram 1	1	1321.765345451	1325.089701681	0.000	8000.000	F
351	Spectrogram 1	1	1326.923547616	1329.676257667	0.000	8000.000	G
352	Spectrogram 1	1	1330.076236026	1331.588038087	0.000	8000.000	H
353	Spectrogram 1	1	1333.700707749	1336.837388839	0.000	8000.000	F
354	Spectrogram 1	1	1338.382659534	1341.074536213	0.000	8000.000	G
355	Spectrogram 1	1	1341.439536441	1343.346833402	0.000	8000.000	H
356	Spectrogram 1	1	1345.266694301	1348.660307952	0.000	8000.000	F
357	Spectrogram 1	1	1350.253228645	1352.584895168	0.000	8000.000	G
358	Spectrogram 1	1	1352.894754826	1355.054467507	0.000	8000.000	H
359	Spectrogram 1	1	1357.244340873	1360.149134352	0.000	8000.000	F
360	Spectrogram 1	1	1362.556803254	1364.260137650	0.000	8000.000	G
361	Spectrogram 1	1	1364.774198513	1367.102818900	0.000	8000.000	H
362	Spectrogram 1	1	1369.091244450	1372.305351001	0.000	8000.000	F
363	Spectrogram 1	1	1373.887018655	1375.666394765	0.000	8000.000	G
364	Spectrogram 1	1	1376.340187896	1379.559741589	0.000	8000.000	H
365	Spectrogram 1	1	1381.465237083	1384.709952442	0.000	8000.000	F
366	Spectrogram 1	1	1386.717453694	1387.918912777	0.000	8000.000	G
367	Spectrogram 1	1	1388.829606734	1391.961981415	0.000	8000.000	H
368	Spectrogram 1	1	1393.677626235	1397.030116747	0.000	8000.000	F
369	Spectrogram 1	1	1398.733451143	1400.512827252	0.000	8000.000	G
370	Spectrogram 1	1	1401.157427752	1404.297097525	0.000	8000.000	H
371	Spectrogram 1	1	1405.428302075	1408.846999118	0.000	8000.000	F
372	Spectrogram 1	1	1410.553348432	1412.908100762	0.000	8000.000	G
373	Spectrogram 1	1	1413.693925696	1415.637392957	0.000	8000.000	H
374	Spectrogram 1	1	1417.409833156	1419.594573285	0.000	8000.000	F
